id,title_in_arabic,title_in_indonesian,title_in_english,transliteration
85,"سُورَةُ البُرُوجِ","Surat Al-Burooj","The Mansions of the Stars","Al-Burooj"
86,"سُورَةُ الطَّارِقِ","Surat At-Taariq","The Morning Star","At-Taariq"
87,"سُورَةُ الأَعۡلَىٰ","Surat Al-A'laa","The Most High","Al-A'laa"
88,"سُورَةُ الغَاشِيَةِ","Surat Al-Ghaashiya","The Overwhelming","Al-Ghaashiya"
89,"سُورَةُ الفَجۡرِ","Surat Al-Fajr","The Dawn","Al-Fajr"
90,"سُورَةُ البَلَدِ","Surat Al-Balad","The City","Al-Balad"
91,"سُورَةُ الشَّمۡسِ","Surat Ash-Shams","The Sun","Ash-Shams"
92,"سُورَةُ اللَّيۡلِ","Surat Al-Lail","The Night","Al-Lail"
93,"سُورَةُ الضُّحَىٰ","Surat Ad-Dhuhaa","The Morning Hours","Ad-Dhuhaa"
94,"سُورَةُ الشَّرۡحِ","Surat Ash-Sharh","The Relief","Ash-Sharh"
95,"سُورَةُ التِّينِ","Surat At-Tin","The Fig","At-Tin"
96,"سُورَةُ العَلَقِ","Surat Al-Alaq","The Clot","Al-Alaq"
97,"سُورَةُ القَدۡرِ","Surat Al-Qadr","The Power","Al-Qadr"
98,"سُورَةُ البَيِّنَةِ","Surat Al-Bayyina","The Clear Proof","Al-Bayyina"
99,"سُورَةُ الزَّلۡزَلَةِ","Surat Az-Zalzala","The Earthquake","Az-Zalzala"
100,"سُورَةُ العَادِيَاتِ","Surat Al-Aadiyaat","The Chargers","Al-Aadiyaat"
101,"سُورَةُ القَارِعَةِ","Surat Al-Qaari'a","The Calamity","Al-Qaari'a"
102,"سُورَةُ التَّكَاثُرِ","Surat At-Takaathur","The Abundance","At-Takaathur"
103,"سُورَةُ العَصۡرِ","Surat Al-Asr","The Declining Day","Al-Asr"
104,"سُورَةُ الهُمَزَةِ","Surat Al-Humaza","The Traducer","Al-Humaza"
105,"سُورَةُ الفِيلِ","Surat Al-Fil","The Elephant","Al-Fil"
106,"سُورَةُ قُرَيۡشٍ","Surat Quraish","Quraish","Quraish"
107,"سُورَةُ المَاعُونِ","Surat Al-Maa'un","The Small Kindnesses","Al-Maa'un"
108,"سُورَةُ الكَوۡثَرِ","Surat Al-Kawthar","Abundance","Al-Kawthar"
109,"سُورَةُ الكَافِرُونَ","Surat Al-Kaafiroon","The Disbelievers","Al-Kaafiroon"
110,"سُورَةُ النَّصۡرِ","Surat An-Nasr","The Divine Support","An-Nasr"
111,"سُورَةُ المَسَدِ","Surat Al-Masad","The Palm Fiber","Al-Masad"
112,"سُورَةُ الإِخۡلَاصِ","Surat Al-Ikhlaas","The Sincerity","Al-Ikhlaas"
113,"سُورَةُ الفَلَقِ","Surat Al-Falaq","The Daybreak","Al-Falaq"
114,"سُورَةُ النَّاسِ","Surat An-Naas","The Mankind","An-Naas"
